route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010003,45295219
Red-3-0,Red,0,Alewife - Braintree,,1,10010004,45295375
Red-3-0_70101_70105_0,Red,0,Alewife - Quincy Center,,4,10010099,45295508-20:45-BraintreeQuincyCenter0
Red-1-1,Red,1,Ashmont - Alewife,,1,10010103,45295220
Red-3-1,Red,1,Braintree - Alewife,,1,10010104,45295355
Red-3-1_70105_70102_2,Red,1,Quincy Center - Alewife,,4,10010199,45295539-20:45-BraintreeQuincyCenter2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,45616687
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,45616685
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,45616325
Orange-5-0,Orange,0,Wellington - Forest Hills,Weekdays only,3,10020003,45616588
Orange-3-0_70036_70032_2,Orange,0,Wellington - Forest Hills,,4,10020099,45510578-19:00-OakGroveWellingtonOrangeSkipNorthStationNorthbound2
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,45616458
Orange-3-1_70033_70036_0,Orange,1,Forest Hills - Wellington,,4,10020199,45510571-19:00-OakGroveWellingtonOrangeSkipNorthStationNorthbound0
Green-B-3-0,Green-B,0,Park Street - Boston College,,1,10032000,45803810
Green-B-1-0,Green-B,0,North Station - Boston College,Weekend early mornings only,3,10032004,45811028
Green-B-1-0_70137_70107_0,Green-B,0,North Station - Babcock Street,,4,10032099,45807800-BabcockBC0
Green-B-1-0_70202_70196_0,Green-B,0,North Station - Government Center,,4,10032099,45807800-GovtCtrParkSt0
Green-B-1-0_70202_70196_2,Green-B,0,Park Street - Boston College,,4,10032099,45807800-GovtCtrParkSt2
Green-B-3-0_70137_70107_0,Green-B,0,Park Street - Babcock Street,,4,10032099,45807815-BabcockBC0
Green-B-3-1,Green-B,1,Boston College - Park Street,,1,10032100,45803657
Green-B-1-1,Green-B,1,Boston College - North Station,Weekend early mornings only,3,10032104,45811027
Green-B-1-1_70106_70136_2,Green-B,1,Babcock Street - North Station,,4,10032199,45807799-BabcockBC2
Green-B-1-1_70200_70201_0,Green-B,1,Boston College - Park Street,,4,10032199,45807799-GovtCtrParkSt0
Green-B-1-1_70200_70201_2,Green-B,1,Government Center - North Station,,4,10032199,45807799-GovtCtrParkSt2
Green-B-3-1_70106_70136_2,Green-B,1,Babcock Street - Park Street,,4,10032199,45807813-BabcockBC2
Green-C-1-0,Green-C,0,North Station - Cleveland Circle,,1,10033000,45803742
Green-C-1-0_70202_70197_0,Green-C,0,North Station - Government Center,,4,10033099,45807785-GovtCtrParkSt0
Green-C-1-0_70202_70197_2,Green-C,0,Park Street - Cleveland Circle,,4,10033099,45807785-GovtCtrParkSt2
Green-C-1-1,Green-C,1,Cleveland Circle - North Station,,1,10033100,45803741
Green-C-1-1_70200_70201_0,Green-C,1,Cleveland Circle - Park Street,,4,10033199,45807784-GovtCtrParkSt0
Green-C-1-1_70200_70201_2,Green-C,1,Government Center - North Station,,4,10033199,45807784-GovtCtrParkSt2
Green-D-2-0,Green-D,0,Government Center - Riverside,,1,10034000,45804733
Green-D-3-0,Green-D,0,North Station - Reservoir,Evenings only,3,10034005,45805609
Green-D-1-0,Green-D,0,North Station - Riverside,Weekday early mornings only,3,10034007,45803757
Green-D-2-0_70151_70179_0,Green-D,0,Government Center - Kenmore,,4,10034099,45804940-20:45-BrooklineHillsKenmore0
Green-D-2-0_70151_70179_2,Green-D,0,Brookline Hills - Riverside,,4,10034099,45804940-20:45-BrooklineHillsKenmore2
Green-D-2-0_70169_70161_0,Green-D,0,Government Center - Newton Highlands,,4,10034099,45804940-20:45-NewtonHighlandsRiverside0
Green-D-2-0_70175_70161_0,Green-D,0,Government Center - Reservoir,,4,10034099,45804940-20:45-ReservoirRiverside0
Green-D-2-0_70187_70169_0,Green-D,0,Government Center - Fenway,,4,10034099,45804940-20:45-FenwayNewtonHighlands0
Green-D-2-0_70187_70169_2,Green-D,0,Newton Highlands - Riverside,,4,10034099,45804940-20:45-FenwayNewtonHighlands2
Green-D-2-0_70202_70198_2,Green-D,0,Park Street - Riverside,,4,10034099,45807817-GovtCtrParkSt2
Green-D-3-0_70151_70179_0,Green-D,0,North Station - Kenmore,,4,10034099,45805609-20:45-BrooklineHillsKenmore0
Green-D-3-0_70151_70179_2,Green-D,0,Brookline Hills - Reservoir,,4,10034099,45805609-20:45-BrooklineHillsKenmore2
Green-D-3-0_70202_70198_0,Green-D,0,North Station - Government Center,,4,10034099,45809469-GovtCtrParkSt0
Green-D-3-0_70202_70198_2,Green-D,0,Park Street - Reservoir,,4,10034099,45809469-GovtCtrParkSt2
Green-D-2-1,Green-D,1,Riverside - Government Center,,1,10034100,45804732
Green-D-3-1,Green-D,1,Reservoir - North Station,,3,10034105,45805593
Green-D-1-1,Green-D,1,Riverside - North Station,Weekday early mornings only,3,10034108,45803758
Green-D-2-1_70160_70168_2,Green-D,1,Newton Highlands - Government Center,,4,10034199,45804948-20:45-NewtonHighlandsRiverside2
Green-D-2-1_70160_70174_2,Green-D,1,Reservoir - Government Center,,4,10034199,45804948-20:45-ReservoirRiverside2
Green-D-2-1_70168_70186_0,Green-D,1,Riverside - Newton Highlands,,4,10034199,45804948-20:45-FenwayNewtonHighlands0
Green-D-2-1_70168_70186_2,Green-D,1,Fenway - Government Center,,4,10034199,45804948-20:45-FenwayNewtonHighlands2
Green-D-2-1_70178_70150_0,Green-D,1,Riverside - Brookline Hills,,4,10034199,45804948-20:45-BrooklineHillsKenmore0
Green-D-2-1_70178_70150_2,Green-D,1,Kenmore - Government Center,,4,10034199,45804948-20:45-BrooklineHillsKenmore2
Green-D-2-1_70200_70201_0,Green-D,1,Riverside - Park Street,,4,10034199,45807802-GovtCtrParkSt0
Green-D-3-1_70200_70201_0,Green-D,1,Reservoir - Park Street,,4,10034199,45809457-GovtCtrParkSt0
